,index,neighborhood,lat,lon,Safety_Index
56,7615,90064,34.0353,-118.4259,1.9048961519711567
57,7628,90065,34.1073,-118.2266,1.2367929923339422
58,7641,90066,34.003,-118.4298,1.822063152565799
59,7654,90067,34.0551,-118.4095,0.218309878018075
60,7667,90068,34.1156,-118.3305,0.7200573079333787
61,7680,90069,34.0906,-118.3788,0.4575678213074619
62,7693,90071,34.0529,-118.2549,1.4636993951796515
63,7706,90073,33.7866,-118.2987,0.1060193419297465
64,7719,90074,34.0522,-118.2437,0.6893676305935168
65,7732,90077,34.1112,-118.4502,0.1243608270342374
66,7745,90079,33.7866,-118.2987,0.6204229992446443
67,7758,90086,34.0522,-118.2437,0.3758112708727306
68,7771,90089,33.7866,-118.2987,0.5603427493879475
69,7784,90094,33.9728,-118.4276,0.5088188458592038
70,7797,90095,33.7866,-118.2987,0.1862959842928852
71,7810,90096,34.0522,-118.2437,0.0630852668120235
72,7823,90201,33.9653,-118.1515,0.0391723630850659
73,7836,90210,34.0901,-118.4065,0.5911161319354786
74,7849,90211,34.0652,-118.383,0.1009133242619209
75,7862,90212,34.0619,-118.3995,0.0507236817434254
76,7875,90230,33.9949,-118.3991,0.7135768507556237
77,7888,90232,34.0168,-118.3973,0.1984098019467822
78,7901,90245,33.9243,-118.4119,0.0176768657555968
79,7914,90247,33.8925,-118.2961,0.5357166772916476
80,7927,90248,33.8766,-118.2835,0.3467672379156466
81,7940,90250,33.9143,-118.3493,0.0267890146624738
82,7955,90272,34.0481,-118.5265,0.6341791130730123
83,7968,90275,33.7515,-118.367,0.0419882062710602
84,7975,90278,33.8707,-118.3715,0.00535545918668
85,7978,90290,34.1076,-118.6023,0.0006679675572007
86,7991,90291,33.9938,-118.4635,1.630942400102857
87,8004,90292,33.9779,-118.4525,0.6761070515945506
88,8017,90293,33.9577,-118.4373,0.5162217344254743
89,8030,90296,33.7866,-118.2987,0.00535545918668
90,8043,90301,33.955,-118.3556,0.0473419913535868
91,8057,90303,33.9377,-118.3321,0.0033465342026174
92,8070,90304,33.9379,-118.3586,0.0775143705100526
93,8083,90305,33.9583,-118.3259,0.1111588416806398
94,8096,90402,34.0349,-118.503,0.1621403354636866
95,8111,90404,34.0268,-118.4733,0.0666963094708759
96,8124,90405,34.01,-118.4717,0.0207438245645989
97,8137,90501,33.8268,-118.3118,0.4313312610156053
98,8150,90502,33.8286,-118.292,0.1668579609679268
99,8161,90504,33.8708,-118.3295,0.0083688466627738
100,8174,90505,33.8106,-118.3507,0.0034134983687529
101,8187,90710,33.797,-118.2991,1.5026474283081637
102,8200,90717,33.7938,-118.3172,0.2119399117144433
103,8213,90731,33.7339,-118.2914,2.479585973953618
104,8226,90732,33.742,-118.3121,0.8012279219144252
105,8238,90733,33.7866,-118.2987,0.0050206383560029
106,8244,90734,33.7866,-118.2987,0.0013376092185549
